Playoff,FG_G,FGA_G,Fgper,Three_P_G,Three_PA_G,Three_Pper,Two_P_G,Two_PA_G,Two_Pper,FT_G,FTA_G,Ftper,ORB_G,DRB_G,TRB_G,AST_G,STL_G,BLK_G,TOV_G,PF_G,Age,FTr,Three_PAr,Tsper,eFGper,TOVper,ORBper,FT_FGA,eFGperOp,TOVperOp,DRBperDef,FT_FGA_Op
1,36.14634146,81.45121951,0.444,4.658536585,13.5,0.345,31.48780488,67.95121951,0.463,16.45121951,21.29268293,0.773,12.91463415,29.81707317,42.73170732,20.91463415,8.573170732,5.317073171,13.95121951,20.24390244,27,0.261,0.166,0.514,0.472,13.3,31,0.202,0.475,15.2,74.3,0.209
1,33.80487805,80.54878049,0.42,6.475609756,20.31707317,0.319,27.32926829,60.23170732,0.454,17.73170732,23.62195122,0.751,13.30487805,29.48780488,42.79268293,20.92682927,8.634146341,4.219512195,14.97560976,20.91463415,30.3,0.293,0.252,0.505,0.46,14.1,30.6,0.22,0.476,15,71.3,0.218
1,33.5,77,0.435,4.06097561,11.80487805,0.344,29.43902439,65.19512195,0.452,19.03658537,25.29268293,0.753,12.36585366,30.3902439,42.75609756,20.75609756,8.036585366,6.951219512,15.13414634,20.29268293,27.4,0.328,0.153,0.511,0.461,14.7,30.1,0.247,0.441,15.5,71.8,0.202
1,37.37878788,82.75757576,0.452,6.348484848,16.92424242,0.375,31.03030303,65.83333333,0.471,15.24242424,21.12121212,0.722,13.86363636,32.8030303,46.66666667,23.13636364,6.909090909,5.878787879,13.98484848,17.25757576,27.1,0.255,0.205,0.523,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175
0,37.64634146,81.7804878,0.46,5.780487805,16.84146341,0.343,31.86585366,64.93902439,0.491,16.65853659,22.04878049,0.756,11.47560976,29.52439024,41,21.01219512,8.134146341,5.353658537,14.53658537,20.45121951,25.4,0.27,0.206,0.534,0.496,13.7,27.6,0.204,0.518,13.8,73.2,0.231
1,40.86585366,85.58536585,0.477,9.707317073,24.70731707,0.393,31.15853659,60.87804878,0.512,18.97560976,25.36585366,0.748,11.79268293,32.34146341,44.13414634,23.5,6.975609756,5.524390244,13.7195122,19.06097561,25.2,0.296,0.289,0.571,0.534,12.4,27.5,0.222,0.478,12,68.3,0.176
1,36.96341463,76.84146341,0.481,6.670731707,18.03658537,0.37,30.29268293,58.80487805,0.515,21.46341463,27.90243902,0.769,9.634146341,32.51219512,42.14634146,19.98780488,6.634146341,5.243902439,13.92682927,20.41463415,29,0.363,0.235,0.573,0.524,13.5,25.2,0.279,0.475,12.6,75.5,0.223
0,36,81.17073171,0.444,7.902439024,20.5,0.385,28.09756098,60.67073171,0.463,19.82926829,25.62195122,0.774,10.29268293,29.80487805,40.09756098,20.36585366,7.573170732,3.865853659,13.25609756,22.87804878,27,0.316,0.253,0.539,0.492,12.5,23.7,0.244,0.499,13.4,71.1,0.24
1,37.90243902,83.2804878,0.455,8.853658537,25.12195122,0.352,29.04878049,58.15853659,0.499,19.32926829,24.56097561,0.787,10.74390244,30.80487805,41.54878049,20.74390244,7.5,4.353658537,12.8902439,20.87804878,26.1,0.295,0.302,0.553,0.508,12,25.6,0.232,0.506,13.4,73.3,0.208
1,38.58536585,82.87804878,0.466,7.682926829,19.76829268,0.389,30.90243902,63.1097561,0.49,16,20.81707317,0.769,11.42682927,30.41463415,41.84146341,21.76829268,7.768292683,3.914634146,11.87804878,18.67073171,27.1,0.251,0.239,0.548,0.512,11.4,27,0.193,0.501,13.5,75.4,0.184
1,38.14634146,87.76829268,0.435,7.329268293,20.36585366,0.36,30.81707317,67.40243902,0.457,15.25609756,20.73170732,0.736,13.02439024,30.93902439,43.96341463,22.87804878,8.353658537,6.707317073,14.09756098,18.95121951,26.4,0.236,0.232,0.51,0.476,12.7,27.9,0.174,0.492,14.4,71.3,0.201
1,35.98780488,80.47560976,0.447,6.317073171,18.32926829,0.345,29.67073171,62.14634146,0.477,18,22.37804878,0.804,12.14634146,27.19512195,39.34146341,21.17073171,8.048780488,4.365853659,13.04878049,19.32926829,26.7,0.278,0.228,0.533,0.486,12.6,29.5,0.224,0.51,15.4,72,0.231
1,37.81707317,77.93902439,0.485,7.341463415,19.29268293,0.381,30.47560976,58.64634146,0.52,19.13414634,26.58536585,0.72,9.646341463,32.82926829,42.47560976,22.37804878,6.87804878,5.182926829,13.86585366,19.40243902,28,0.341,0.248,0.57,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218
1,36.8030303,80.59090909,0.457,5.484848485,16.84848485,0.326,31.31818182,63.74242424,0.491,18.21212121,24.07575758,0.756,12.10606061,34.10606061,46.21212121,22.5,5.909090909,5.318181818,15.10606061,16.8030303,29.7,0.299,0.209,0.534,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158
0,38.82926829,86.81707317,0.447,7.707317073,22.73170732,0.339,31.12195122,64.08536585,0.486,18.58536585,24.63414634,0.754,12.82926829,34.68292683,47.51219512,20.5,7.292682927,5.524390244,14.69512195,22.30487805,25.4,0.284,0.262,0.532,0.492,13.1,28.9,0.214,0.489,12.4,75.6,0.213
0,36.1097561,83.64634146,0.432,3.902439024,10.74390244,0.363,32.20731707,72.90243902,0.442,18.13414634,25.56097561,0.709,13.20731707,28.47560976,41.68292683,21.87804878,8.475609756,5.365853659,14.53658537,23.09756098,24.9,0.306,0.128,0.497,0.455,13.3,29.5,0.217,0.497,14.7,70.9,0.269
0,34.93902439,76.96341463,0.454,4.853658537,13.48780488,0.36,30.08536585,63.47560976,0.474,19.14634146,25.32926829,0.756,10.32926829,28.5,38.82926829,17.35365854,7.5,4.695121951,15.26829268,21.67073171,23.3,0.329,0.175,0.533,0.486,14.8,25.8,0.249,0.515,14.1,73.5,0.247
1,38.79268293,82.93902439,0.468,6.390243902,17.74390244,0.36,32.40243902,65.19512195,0.497,17.70731707,23.34146341,0.759,11.81707317,29.8902439,41.70731707,21.81707317,7.219512195,5.036585366,11.95121951,19.90243902,26.5,0.281,0.214,0.545,0.506,11.4,28.2,0.213,0.496,13.2,72.7,0.208
1,37.29268293,79.3902439,0.47,6.682926829,18.01219512,0.371,30.6097561,61.37804878,0.499,23.06097561,30.32926829,0.76,11.03658537,30.57317073,41.6097561,22.19512195,8.658536585,6,15.32926829,22.85365854,27.7,0.382,0.227,0.563,0.512,14.2,27.5,0.29,0.485,14.1,71.7,0.259
1,36.92682927,81.41463415,0.454,4.451219512,13.59756098,0.327,32.47560976,67.81707317,0.479,19.8902439,28.68292683,0.693,12.20731707,30.91463415,43.12195122,23.75609756,8.317073171,4.62195122,13.80487805,21.12195122,29.8,0.352,0.167,0.522,0.481,12.8,28.1,0.244,0.471,14.3,73.3,0.222
1,39.12195122,82.45121951,0.474,8.451219512,23.97560976,0.352,30.67073171,58.47560976,0.525,21.23170732,29.07317073,0.73,10.46341463,32.53658537,43,24.58536585,8.573170732,4.841463415,13.85365854,21.54878049,28.1,0.353,0.291,0.567,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222
0,37.87804878,84.42682927,0.449,4.914634146,14.40243902,0.341,32.96341463,70.02439024,0.471,17.51219512,23.48780488,0.746,11.73170732,31.17073171,42.90243902,19.82926829,7.280487805,3.731707317,16.25609756,20.7195122,24.1,0.278,0.171,0.518,0.478,14.6,26.7,0.207,0.525,13,73.6,0.22
1,36.29268293,82.07317073,0.442,6.292682927,17.93902439,0.351,30,64.13414634,0.468,17.97560976,24.3902439,0.737,9.463414634,33.2195122,42.68292683,21.68292683,6.085365854,5.134146341,12.31707317,18.20731707,25.5,0.297,0.219,0.522,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183
1,36.13414634,81.18292683,0.445,5.451219512,16.02439024,0.34,30.68292683,65.15853659,0.471,18.98780488,26.13414634,0.727,12.76829268,29.03658537,41.80487805,23.35365854,9.695121951,6.890243902,14.95121951,23.20731707,26,0.322,0.197,0.522,0.479,13.9,29.5,0.234,0.465,15.7,68.4,0.251
1,37.84146341,81.84146341,0.462,7.329268293,18.26829268,0.401,30.51219512,63.57317073,0.48,19.82926829,24.92682927,0.795,10.82926829,30.3902439,41.2195122,26.24390244,8.658536585,3.963414634,13.86585366,19.34146341,29.3,0.305,0.223,0.554,0.507,13,26,0.242,0.483,13.7,69.8,0.193
